,Env,Latitude_of_Field,Longitude_of_Field
0,ARH1_2016,34.72952,-90.7603555
1,ARH1_2017,34.7272515,-90.76032574999999
2,ARH1_2018,34.729679000000004,-90.7603455
3,ARH2_2016,35.838614,-90.66530155000001
4,ARH2_2017,35.674181250000004,-90.07526949999999
5,ARH2_2018,35.674240999999995,-90.0749725
6,COH1_2017,40.64850025,-104.9997825
7,COH1_2021,40.648675,-104.994675
8,DEH1_2014,38.642976250000004,-75.452693125
9,DEH1_2015,38.62935675,-75.4656925
10,DEH1_2016,38.648202500000004,-75.44606
11,DEH1_2017,38.67025825,-75.4333645
12,DEH1_2018,38.65164475,-75.44913625000001
13,DEH1_2019,38.670675,-75.433225
14,DEH1_2020,38.628981,-75.46566025
15,DEH1_2021,38.63525,-75.45625
16,DEH1_2022,38.63775,-75.45824999999999
17,GAH1_2014,31.506975,-83.55826099999999
18,GAH1_2015,31.505771,-83.555095
19,GAH1_2016,31.5079175,-83.55854775
20,GAH1_2017,31.50794425,-83.55854475
21,GAH1_2018,31.50582525,-83.55515025
22,GAH1_2019,31.50582525,-83.55515025
23,GAH1_2020,31.5079775,-83.558517
24,GAH1_2021,31.5079775,-83.558517
25,GAH1_2022,31.5060325,-83.558005
26,GAH2_2016,33.717295,-83.3110275
27,GAH2_2017,33.727145,-83.29821525
28,GAH2_2018,33.71560925,-83.30894675
29,GAH2_2019,33.7204165,-83.308125
30,GAH2_2020,33.72355555,-83.30265185
31,GAH2_2021,33.7154545725,-83.30972048999999
32,GAH2_2022,33.726664,-83.3044675
33,GEH1_2019,51.502453,9.93711225
34,GEH1_2020,51.49526125,9.923683
35,GEH1_2021,51.47076225,9.926400749999999
36,IAH1_2015,41.9980951975,-93.693369725
37,IAH1_2016,41.199251145000005,-91.49407266624999
38,IAH1_2017,41.19924609,-91.4940229575
39,IAH1_2018,41.199251145000005,-91.49407266624999
40,IAH1_2019,41.1992562,-91.4941418
41,IAH1_2020,41.1977421375,-91.48767071500001
42,IAH1_2021,41.19933001,-91.494122375
43,IAH1_2022,41.197664355,-91.48720141
44,IAH1a_2014,41.199251145000005,-91.49407266624999
45,IAH1b_2014,41.199251145000005,-91.49407266624999
46,IAH1c_2014,41.199251145000005,-91.49407266624999
47,IAH2_2014,42.065838940000006,-94.720747405
48,IAH2_2016,42.065838940000006,-94.720747405
49,IAH2_2017,42.06582876,-94.7205012925
50,IAH2_2018,42.065838940000006,-94.720747405
51,IAH2_2019,42.065834985,-94.72067796
52,IAH2_2021,42.065842895,-94.72081685
53,IAH2_2022,42.0674917475,-94.729009495
54,IAH3_2014,41.9758706025,-92.24310603250001
55,IAH3_2015,41.975856285,-92.24291804
56,IAH3_2016,41.9758706025,-92.24310603250001
57,IAH3_2017,41.9758706025,-92.2431888125
58,IAH3_2018,41.9758706025,-92.24310603250001
59,IAH3_2019,41.97593131,-92.24310603250001
60,IAH3_2021,41.97582495,-92.24308745
61,IAH3_2022,41.98786621,-92.25804885
62,IAH4_2014,41.994647505,-93.69042819
63,IAH4_2015,41.1997096125,-91.49362406
64,IAH4_2016,41.994647505,-93.69042819
65,IAH4_2017,41.994554317500004,-93.69030947499999
66,IAH4_2018,41.994647505,-93.69042819
67,IAH4_2019,42.031937975000005,-93.79333212750001
68,IAH4_2021,41.9983260225,-93.694298175
69,IAH4_2022,41.994647505,-93.69042819
70,ILH1_2014,40.0607245,-88.23121675
71,ILH1_2015,40.05982425,-88.23397575
72,ILH1_2016,40.0607245,-88.2338815
73,ILH1_2017,40.0607245,-88.23121675
74,ILH1_2018,40.06300125,-88.2291765
75,ILH1_2019,40.058710500000004,-88.2298385
76,ILH1_2021,40.0607245,-88.23121675
77,ILH1_2022,40.08242675,-88.23121675
78,INH1_2014,40.4787595,-86.99766525
79,INH1_2015,40.477075,-87.000205
80,INH1_2016,40.4787595,-86.98982
81,INH1_2017,40.4787595,-86.99766525
82,INH1_2018,40.478782499999994,-86.9898145
83,INH1_2019,40.477063,-87.00020175
84,INH1_2020,40.4787965,-86.9895995
85,INH1_2021,40.477062000000004,-86.99766525
86,INH1_2022,40.48251775,-87.00278825
87,KSH1_2015,39.216417750000005,-96.60482225
88,KSH1_2016,39.14480675,-96.62898225
89,KSH1_2018,37.810107,-100.775188
90,MIH1_2016,42.41206675,-84.2952625
91,MIH1_2017,42.68116575,-84.49434124999999
92,MIH1_2018,42.689234,-84.49755575
93,MIH1_2019,42.70789125,-84.4706665
94,MIH1_2020,42.708577500000004,-84.4705825
95,MIH1_2021,42.707751,-84.47058725
96,MIH1_2022,42.70854325,-84.47056075
97,MNH1_2014,44.06933375,-93.533648
98,MNH1_2015,44.07038575,-93.53519625
99,MNH1_2016,44.06646925,-93.533648
100,MNH1_2017,44.06933375,-93.533648
101,MNH1_2018,44.07044721,-93.53494127249999
102,MNH1_2019,44.0664117,-93.525004705
103,MNH1_2020,44.0690783925,-93.5326302825
104,MNH1_2021,44.07037925,-93.53411425
105,MNH1_2022,44.06933375,-93.52954725000001
106,MOH1_2014,38.895579999999995,-92.2076033325
107,MOH1_2015,38.8965375,-92.208004165
108,MOH1_2016,38.8955475,-92.2072025
109,MOH1_2017,38.89264,-92.2057525
110,MOH1_2019,38.8956125,-92.20883
111,MOH2_2014,38.9135004575,-92.28138874999999
112,MOH2_2015,38.898079165,-92.2079
113,MOH2_2022,38.92892175,-92.3548775
114,NCH1_2014,35.483467125,-77.56904237500001
115,NCH1_2015,35.296577084999996,-77.5664625
116,NCH1_2016,35.30015175,-77.57127825
117,NCH1_2017,35.29663725,-77.5668065
118,NCH1_2018,35.6667825,-78.492372
119,NCH1_2019,35.67010175,-78.510504
120,NCH1_2020,35.300098915,-77.57131746499999
121,NCH1_2021,36.128276365000005,-77.177887625
122,NCH1_2022,36.130624999999995,-77.1789825
123,NEH1_2014,40.8603518,-96.597845
124,NEH1_2015,41.290979,-96.41664324999999
125,NEH1_2016,40.8603518,-96.597845
126,NEH1_2019,40.8604,-96.6159
127,NEH1_2020,40.851785,-96.61667
128,NEH1_2021,40.8603518,-96.59670298
129,NEH1_2022,40.85980333333333,-96.597845
130,NEH2_2014,41.056680387499995,-100.7480420875
131,NEH2_2015,41.0514495,-100.7471915
132,NEH2_2018,41.38042275,-96.55988375
133,NEH2_2019,41.056680387499995,-100.7480420875
134,NEH2_2020,41.056680387499995,-100.7480420875
135,NEH2_2021,41.061911275,-100.748892675
136,NEH2_2022,41.04972975,-100.7527925
137,NEH3_2014,41.1239925375,-100.7771425125
138,NEH3_2015,41.15824525,-101.98729575
139,NEH3_2017,41.162,-96.409
140,NEH3_2020,41.1239925375,-100.7771425125
141,NEH3_2021,41.089739824999995,-100.779377525
142,NEH3_2022,41.089355,-100.7749075
143,NEH4_2015,41.16732275,-96.41663225
144,NEH4_2016,41.164661374999994,-96.412816125
145,NEH4_2017,41.162,-96.409
146,NYH1_2014,42.7288875,-76.6515625
147,NYH1_2015,42.7288875,-76.6515625
148,NYH1_2016,42.7288875,-76.6515625
149,NYH1_2017,42.72880835,-76.6515625
150,NYH1_2018,42.729404175,-76.6516166675
151,NYH1_2019,42.7288875,-76.651520835
152,NYH2_2014,42.732276,-76.65276399999999
153,NYH2_2015,42.7324825,-76.65277775
154,NYH2_2016,42.726117,-76.655339
155,NYH2_2017,42.73248125,-76.65275025
156,NYH2_2018,42.726110750000004,-76.65530175
157,NYH2_2019,42.732214025000005,-76.65248675
158,NYH2_2020,42.73230075,-76.65036275
159,NYH2_2021,42.733264,-76.65611874999999
160,NYH2_2022,42.732251250000004,-76.650192
161,NYH3_2015,42.7233625,-76.6555945
162,NYH3_2017,42.73339625,-76.652747
163,NYH3_2018,42.7261605,-76.6556765
164,NYH3_2019,42.7321756,-76.653454625
165,NYH3_2020,42.73227475,-76.6513705
166,NYH3_2021,42.733325,-76.65519325
167,NYH3_2022,42.732239,-76.650972
168,NYS1_2020,42.7322645,-76.65174300000001
169,NYS1_2021,42.7322645,-76.65174300000001
170,OHH1_2015,39.855785,-83.66477375
171,OHH1_2016,39.860924,-83.6755995
172,OHH1_2017,39.855785,-83.66477375
173,OHH1_2018,39.85688825,-83.67122499999999
174,OHH1_2019,39.85685125,-83.67122475
175,OHH1_2020,39.856434750000005,-83.67288725
176,OHH1_2022,39.8564825,-83.67284000000001
177,ONH1_2014,43.49741975,-80.44806025
178,ONH1_2015,43.49741975,-80.44806025
179,ONH1_2016,43.4997965,-80.451125
180,ONH1_2017,43.49546,-80.42596875
181,ONH2_2014,42.452966875,-81.88228775
182,ONH2_2015,42.45408625,-81.8816065
183,ONH2_2016,42.4530035,-81.88279875
184,ONH2_2017,42.45293025,-81.8827315
185,ONH2_2019,42.45221275,-81.881844
186,SCH1_2018,34.6223015,-82.7364835
187,SCH1_2019,34.622482250000004,-82.73756775
188,SCH1_2020,34.62225,-82.736661
189,SCH1_2021,34.62254625,-82.73710325
190,SCH1_2022,34.622651749999996,-82.7362945
191,SDH1_2015,44.208745,-102.92874499999999
192,TXH1-Dry_2017,30.54234046625,-96.430684
193,TXH1-Dry_2018,30.546318,-96.4329965
194,TXH1-Early_2017,30.54234046625,-96.430684
195,TXH1-Early_2018,30.546318,-96.4329965
196,TXH1-Late_2017,30.54234046625,-96.430684
197,TXH1-Late_2018,30.546318,-96.4329965
198,TXH1_2014,30.54234046625,-96.430684
199,TXH1_2015,30.54708625,-96.43393475
200,TXH1_2016,30.54708625,-96.43393475
201,TXH1_2019,30.546318,-96.4329965
202,TXH1_2020,30.53781575,-96.4283715
203,TXH1_2021,30.5383629325,-96.42780953249999
204,TXH1_2022,30.53821875,-96.42793611249999
205,TXH2_2014,30.53806922,-96.4283844175
206,TXH2_2015,30.53806922,-96.4283844175
207,TXH2_2016,30.53806922,-96.4283844175
208,TXH2_2017,30.53806922,-96.4283844175
209,TXH2_2018,30.53806922,-96.4283844175
210,TXH2_2019,30.546318,-96.4329965
211,TXH2_2020,30.53825625,-96.42790225
212,TXH2_2021,30.53788219,-96.428361205
213,TXH2_2022,30.537806785,-96.42840763
214,TXH3_2019,30.546318,-96.4329965
215,TXH3_2020,30.538694749999998,-96.4274175
216,TXH3_2021,30.538828017500002,-96.4273201675
217,TXH3_2022,30.5386395825,-96.4274555575
218,TXH4_2019,30.538828017500002,-96.42840763
219,WIH1_2014,43.055847625,-89.5306055
220,WIH1_2015,43.05511725,-89.528525
221,WIH1_2016,43.05632525,-89.53194975
222,WIH1_2017,43.05668125,-89.5308135
223,WIH1_2018,43.0544,-89.5317
224,WIH1_2019,43.060857,-89.494068
225,WIH1_2020,43.05505505,-89.52853825
226,WIH1_2021,43.055369999999996,-89.53039749999999
227,WIH1_2022,43.0586069025,-89.532033415
228,WIH2_2015,43.3264485,-89.33359974999999
229,WIH2_2016,43.326490750000005,-89.33882925
230,WIH2_2017,43.3246415,-89.33688775
231,WIH2_2018,43.38075,-89.38645
232,WIH2_2019,43.320768,-89.33189475
233,WIH2_2020,43.294786,-89.38396800000001
234,WIH2_2021,43.320069000000004,-89.33172575
235,WIH2_2022,43.2952385075,-89.3862938475
236,WIH3_2020,44.115702999999996,-89.54491325000001
237,WIH3_2021,44.114305,-89.544225
238,WIH3_2022,44.11904984,-89.5563453275
